Progress=2.3, SNR=3.00, Bit Errors=4792, BER=8.282633E-002, Frame Errors=210, FER=9.292035E-001, addNum=31667.84, mulNum=41096.87, total_num=72764.71, Choice Errors=10, CWR=6.250000E-001
Progress=2.3, SNR=3.00, Bit Errors=4792, BER=8.282633E-002, Frame Errors=210, FER=9.292035E-001, addNum=31667.84, mulNum=41096.87, total_num=72764.71, Choice Errors=10, CWR=6.250000E-001
Progress=100.0, SNR=3.00, Bit Errors=77, BER=1.002604E-001, Frame Errors= 3, FER=1.000000E+000, addNum=33394.00, mulNum=44181.33, total_num=77575.33, Choice Errors= 0, CWR=-1.#IND00E+000
Progress=100.0, SNR=4.00, Bit Errors=46, BER=5.989583E-002, Frame Errors= 2, FER=6.666667E-001, addNum=35174.00, mulNum=44594.33, total_num=79768.33, Choice Errors= 1, CWR=1.000000E+000
Progress=100.0, SNR=5.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=37092.67, mulNum=43962.67, total_num=81055.33, Choice Errors= 3, CWR=1.000000E+000
Progress=100.0, SNR=6.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=35987.67, mulNum=42473.67, total_num=78461.33, Choice Errors= 3, CWR=1.000000E+000
Progress=100.0, SNR=7.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=33123.00, mulNum=38929.33, total_num=72052.33, Choice Errors= 3, CWR=1.000000E+000
Progress=100.0, SNR=3.00, Bit Errors=77, BER=1.002604E-001, Frame Errors= 3, FER=1.000000E+000, addNum=33394.00, mulNum=44181.33, total_num=77575.33, Choice Errors= 0, CWR=-1.#IND00E+000
Progress=100.0, SNR=4.00, Bit Errors=46, BER=5.989583E-002, Frame Errors= 2, FER=6.666667E-001, addNum=35174.00, mulNum=44594.33, total_num=79768.33, Choice Errors= 1, CWR=1.000000E+000
Progress=100.0, SNR=5.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=37092.67, mulNum=43962.67, total_num=81055.33, Choice Errors= 3, CWR=1.000000E+000
Progress=100.0, SNR=6.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, addNum=35987.67, mulNum=42473.67, total_num=78461.33, Choice Errors= 3, CWR=1.000000E+000
