Progress=0.0, SNR=-4.00, Bit Errors=625, BER=2.693966E-001, Frame Errors=131, FER=9.034483E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=3.56, successError_count=1.14
Progress=0.0, SNR=-3.00, Bit Errors=580, BER=2.465986E-001, Frame Errors=131, FER=8.911565E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=3.46, successError_count=1.00
Progress=0.0, SNR=-2.00, Bit Errors=558, BER=2.264610E-001, Frame Errors=131, FER=8.506494E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=3.18, successError_count=1.04
Progress=0.0, SNR=-1.00, Bit Errors=493, BER=1.750710E-001, Frame Errors=131, FER=7.443182E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=2.55, successError_count=0.82
Progress=0.0, SNR=0.00, Bit Errors=450, BER=1.588983E-001, Frame Errors=131, FER=7.401130E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=2.44, successError_count=0.85
Progress=0.0, SNR=1.00, Bit Errors=419, BER=1.123927E-001, Frame Errors=131, FER=5.622318E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=1.90, successError_count=0.83
Progress=0.0, SNR=2.00, Bit Errors=376, BER=7.859532E-002, Frame Errors=131, FER=4.381271E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=1.53, successError_count=0.74
Progress=0.0, SNR=3.00, Bit Errors=343, BER=5.468750E-002, Frame Errors=131, FER=3.341837E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=1.20, successError_count=0.66
Progress=0.0, SNR=4.00, Bit Errors=317, BER=3.352369E-002, Frame Errors=131, FER=2.216582E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=0.86, successError_count=0.46
Progress=0.0, SNR=5.00, Bit Errors=315, BER=1.572484E-002, Frame Errors=131, FER=1.046326E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=0.59, successError_count=0.40
Progress=0.0, SNR=6.00, Bit Errors=277, BER=6.070302E-003, Frame Errors=131, FER=4.593268E-002, Choice Errors= 0, CWR=0.000000E+000, channelError_count=0.37, successError_count=0.29
Progress=0.0, SNR=7.00, Bit Errors=271, BER=2.030388E-003, Frame Errors=131, FER=1.570367E-002, Choice Errors= 0, CWR=0.000000E+000, channelError_count=0.21, successError_count=0.18
Progress=0.1, SNR=8.00, Bit Errors=270, BER=4.160503E-004, Frame Errors=131, FER=3.229783E-003, Choice Errors= 0, CWR=0.000000E+000, channelError_count=0.10, successError_count=0.09
Progress=0.2, SNR=9.00, Bit Errors=267, BER=8.766239E-005, Frame Errors=131, FER=6.881662E-004, Choice Errors= 0, CWR=0.000000E+000, channelError_count=0.04, successError_count=0.04
Progress=2.5, SNR=10.00, Bit Errors=262, BER=8.066097E-006, Frame Errors=131, FER=6.452878E-005, Choice Errors= 0, CWR=0.000000E+000, channelError_count=0.01, successError_count=0.01

Progress=0.0, SNR=-4.00, Bit Errors=967, BER=2.650768E-001, Frame Errors=210, FER=9.210526E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=3.57, successError_count=1.17
Progress=0.0, SNR=-3.00, Bit Errors=958, BER=2.591991E-001, Frame Errors=210, FER=9.090909E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=3.60, successError_count=1.05
Progress=0.0, SNR=-2.00, Bit Errors=816, BER=2.098765E-001, Frame Errors=210, FER=8.641975E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=2.93, successError_count=0.91
Progress=0.0, SNR=-1.00, Bit Errors=792, BER=1.833333E-001, Frame Errors=210, FER=7.777778E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=2.74, successError_count=0.98
Progress=0.0, SNR=0.00, Bit Errors=727, BER=1.475244E-001, Frame Errors=210, FER=6.818182E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=2.29, successError_count=0.85
Progress=0.0, SNR=1.00, Bit Errors=644, BER=1.114958E-001, Frame Errors=210, FER=5.817175E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=1.90, successError_count=0.83
Progress=0.0, SNR=2.00, Bit Errors=592, BER=8.240535E-002, Frame Errors=210, FER=4.677060E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=1.53, successError_count=0.69
Progress=0.0, SNR=3.00, Bit Errors=559, BER=5.484694E-002, Frame Errors=210, FER=3.296703E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=1.19, successError_count=0.61
Progress=0.0, SNR=4.00, Bit Errors=538, BER=3.018402E-002, Frame Errors=210, FER=1.885099E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=0.86, successError_count=0.53
Progress=0.0, SNR=5.00, Bit Errors=464, BER=1.653364E-002, Frame Errors=210, FER=1.197263E-001, Choice Errors= 0, CWR=0.000000E+000, channelError_count=0.63, successError_count=0.43
Progress=0.0, SNR=6.00, Bit Errors=450, BER=7.054176E-003, Frame Errors=210, FER=5.267118E-002, Choice Errors= 0, CWR=0.000000E+000, channelError_count=0.37, successError_count=0.28
Progress=0.0, SNR=7.00, Bit Errors=436, BER=2.067997E-003, Frame Errors=210, FER=1.593686E-002, Choice Errors= 0, CWR=0.000000E+000, channelError_count=0.20, successError_count=0.17
Progress=0.1, SNR=8.00, Bit Errors=437, BER=4.558922E-004, Frame Errors=210, FER=3.505258E-003, Choice Errors= 0, CWR=0.000000E+000, channelError_count=0.10, successError_count=0.09
Progress=0.4, SNR=9.00, Bit Errors=427, BER=8.412772E-005, Frame Errors=210, FER=6.619886E-004, Choice Errors= 0, CWR=0.000000E+000, channelError_count=0.04, successError_count=0.04
