Progress=100.0, SNR=3.00, Bit Errors=101, BER=3.945312E-002, Frame Errors= 9, FER=9.000000E-001, channelError_count=10.00
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=7.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, channelError_count=0.67
Progress=100.0, SNR=7.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000, channelError_count=0.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67, successError_count=0.00
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67, successError_count=0.00
Progress=100.0, SNR=3.00, Bit Errors=33, BER=4.296875E-002, Frame Errors= 3, FER=1.000000E+000, channelError_count=10.67, successError_count=0.00
Progress=100.0, SNR=3.00, Bit Errors=207, BER=4.042969E-002, Frame Errors=18, FER=9.000000E-001, channelError_count=10.35, successError_count=4.50
Progress=100.0, SNR=3.00, Bit Errors=207, BER=4.042969E-002, Frame Errors=18, FER=9.000000E-001, channelError_count=10.35, successError_count=4.50
Progress=100.0, SNR=3.00, Bit Errors=207, BER=4.042969E-002, Frame Errors=18, FER=9.000000E-001, channelError_count=10.35, successError_count=4.50
Progress=100.0, SNR=3.00, Bit Errors=1209, BER=4.722656E-002, Frame Errors=83, FER=8.300000E-001, channelError_count=10.28, successError_count=5.88
Progress=100.0, SNR=3.00, Bit Errors=1209, BER=4.722656E-002, Frame Errors=83, FER=8.300000E-001, channelError_count=10.28, successError_count=5.88
Progress=100.0, SNR=3.00, Bit Errors=1209, BER=4.722656E-002, Frame Errors=83, FER=8.300000E-001, channelError_count=10.28, successError_count=5.88
Progress=100.0, SNR=3.00, Bit Errors=207, BER=4.042969E-002, Frame Errors=18, FER=9.000000E-001, channelError_count=10.35, successError_count=4.50
Progress=100.0, SNR=3.00, Bit Errors=207, BER=4.042969E-002, Frame Errors=18, FER=9.000000E-001, channelError_count=10.35, successError_count=4.50
Progress=100.0, SNR=3.00, Bit Errors=207, BER=4.042969E-002, Frame Errors=18, FER=9.000000E-001, channelError_count=10.35, successError_count=4.50
Progress=100.0, SNR=3.00, Bit Errors=207, BER=4.042969E-002, Frame Errors=18, FER=9.000000E-001, channelError_count=10.35, successError_count=4.50
Progress=2.6, SNR=0.00, Bit Errors=4047, BER=1.206763E-001, Frame Errors=131, FER=1.000000E+000, channelError_count=24.12, successError_count=0.00
Progress=2.6, SNR=1.00, Bit Errors=2869, BER=8.554986E-002, Frame Errors=131, FER=1.000000E+000, channelError_count=19.19, successError_count=0.00
Progress=2.6, SNR=2.00, Bit Errors=2269, BER=6.714607E-002, Frame Errors=131, FER=9.924242E-001, channelError_count=14.77, successError_count=5.00
Progress=2.9, SNR=3.00, Bit Errors=1978, BER=5.403191E-002, Frame Errors=131, FER=9.160839E-001, channelError_count=10.44, successError_count=5.33
Progress=5.3, SNR=4.00, Bit Errors=1428, BER=2.097039E-002, Frame Errors=131, FER=4.924812E-001, channelError_count=6.78, successError_count=4.79
