Progress=0.0, SNR=0.00, Bit Errors=3701, BER=1.095230E-001, Frame Errors=132, FER=1.000000E+000
Progress=0.0, SNR=1.00, Bit Errors=2920, BER=8.641098E-002, Frame Errors=132, FER=1.000000E+000
Progress=0.0, SNR=2.00, Bit Errors=2172, BER=6.284722E-002, Frame Errors=132, FER=9.777778E-001
Progress=0.0, SNR=3.00, Bit Errors=1640, BER=3.768382E-002, Frame Errors=132, FER=7.764706E-001
Progress=0.0, SNR=4.00, Bit Errors=1403, BER=1.011157E-002, Frame Errors=132, FER=2.435424E-001
Progress=0.0, SNR=5.00, Bit Errors=1283, BER=5.485682E-004, Frame Errors=132, FER=1.444834E-002
Progress=0.0, SNR=6.00, Bit Errors=1233, BER=7.854108E-006, Frame Errors=132, FER=2.152523E-004
Progress=0.0, SNR=0.00, Bit Errors=6342, BER=1.120970E-001, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=1.00, Bit Errors=4862, BER=8.593750E-002, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=2.00, Bit Errors=3672, BER=6.346792E-002, Frame Errors=221, FER=9.778761E-001
Progress=0.0, SNR=3.00, Bit Errors=2851, BER=3.935236E-002, Frame Errors=221, FER=7.809187E-001
Progress=0.0, SNR=4.00, Bit Errors=2252, BER=9.358378E-003, Frame Errors=221, FER=2.351064E-001
Progress=0.0, SNR=5.00, Bit Errors=2147, BER=5.487613E-004, Frame Errors=221, FER=1.446051E-002

Progress=0.0, SNR=-4.00, Bit Errors=12540, BER=2.216488E-001, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=-3.00, Bit Errors=11004, BER=1.944994E-001, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=-2.00, Bit Errors=9563, BER=1.690293E-001, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=-1.00, Bit Errors=8149, BER=1.440363E-001, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=0.00, Bit Errors=6327, BER=1.118319E-001, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=1.00, Bit Errors=4926, BER=8.706872E-002, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=2.00, Bit Errors=3707, BER=6.351083E-002, Frame Errors=221, FER=9.692982E-001
Progress=0.0, SNR=3.00, Bit Errors=2795, BER=3.401236E-002, Frame Errors=221, FER=6.884735E-001
Progress=0.0, SNR=4.00, Bit Errors=2339, BER=8.896513E-003, Frame Errors=221, FER=2.151899E-001
Progress=0.0, SNR=5.00, Bit Errors=2147, BER=5.624141E-004, Frame Errors=221, FER=1.482028E-002
Progress=0.2, SNR=6.00, Bit Errors=2055, BER=6.342698E-006, Frame Errors=221, FER=1.746202E-004
Progress=0.0, SNR=-4.00, Bit Errors=12540, BER=2.216488E-001, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=-3.00, Bit Errors=11004, BER=1.944994E-001, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=-2.00, Bit Errors=9563, BER=1.690293E-001, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=-1.00, Bit Errors=8149, BER=1.440363E-001, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=0.00, Bit Errors=6327, BER=1.118319E-001, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=1.00, Bit Errors=4926, BER=8.706872E-002, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=2.00, Bit Errors=3652, BER=6.455034E-002, Frame Errors=221, FER=1.000000E+000
Progress=0.0, SNR=3.00, Bit Errors=2448, BER=4.175764E-002, Frame Errors=221, FER=9.650655E-001
Progress=0.0, SNR=4.00, Bit Errors=1860, BER=2.118258E-002, Frame Errors=221, FER=6.443149E-001
Progress=0.0, SNR=5.00, Bit Errors=1540, BER=5.085059E-003, Frame Errors=221, FER=1.868132E-001
Progress=0.0, SNR=6.00, Bit Errors=1408, BER=3.254438E-004, Frame Errors=221, FER=1.307692E-002
