Progress=0.0, SNR=-1.00, Bit Errors=325, BER=1.766304E-001, Frame Errors=111, FER=9.652174E-001
Progress=0.0, SNR=-0.50, Bit Errors=296, BER=1.666667E-001, Frame Errors=111, FER=1.000000E+000
Progress=0.0, SNR=0.00, Bit Errors=310, BER=1.729911E-001, Frame Errors=111, FER=9.910714E-001
Progress=0.0, SNR=0.50, Bit Errors=282, BER=1.532609E-001, Frame Errors=111, FER=9.652174E-001
Progress=0.0, SNR=1.00, Bit Errors=245, BER=1.331522E-001, Frame Errors=111, FER=9.652174E-001
Progress=0.0, SNR=1.50, Bit Errors=205, BER=1.123904E-001, Frame Errors=111, FER=9.736842E-001
Progress=0.0, SNR=2.00, Bit Errors=196, BER=1.103604E-001, Frame Errors=111, FER=1.000000E+000
Progress=0.0, SNR=2.50, Bit Errors=150, BER=8.296460E-002, Frame Errors=111, FER=9.823009E-001
Progress=0.0, SNR=3.00, Bit Errors=129, BER=7.134956E-002, Frame Errors=111, FER=9.823009E-001
Progress=0.0, SNR=3.50, Bit Errors=116, BER=6.473214E-002, Frame Errors=111, FER=9.910714E-001
Progress=0.0, SNR=4.00, Bit Errors=92, BER=5.088496E-002, Frame Errors=111, FER=9.823009E-001
Progress=0.0, SNR=4.50, Bit Errors=86, BER=4.842342E-002, Frame Errors=111, FER=1.000000E+000
Progress=0.0, SNR=5.00, Bit Errors=68, BER=3.828829E-002, Frame Errors=111, FER=1.000000E+000
Progress=0.0, SNR=5.50, Bit Errors=55, BER=3.042035E-002, Frame Errors=111, FER=9.823009E-001
Progress=0.0, SNR=6.00, Bit Errors=36, BER=2.008929E-002, Frame Errors=111, FER=9.910714E-001
Progress=0.0, SNR=6.50, Bit Errors=29, BER=1.603982E-002, Frame Errors=111, FER=9.823009E-001
Progress=0.0, SNR=7.00, Bit Errors=21, BER=1.161504E-002, Frame Errors=111, FER=9.823009E-001
Progress=0.0, SNR=7.50, Bit Errors=14, BER=7.812500E-003, Frame Errors=111, FER=9.910714E-001
Progress=0.0, SNR=8.00, Bit Errors=15, BER=8.445946E-003, Frame Errors=111, FER=1.000000E+000
Progress=100.0, SNR=7.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 5, FER=1.000000E+000
Progress=100.0, SNR=7.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 5, FER=1.000000E+000
Progress=100.0, SNR=7.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000
Progress=100.0, SNR=7.00, Bit Errors= 0, BER=0.000000E+000, Frame Errors= 0, FER=0.000000E+000
Progress=0.0, SNR=-1.00, Bit Errors=347, BER=1.853632E-001, Frame Errors=111, FER=9.487179E-001
Progress=0.0, SNR=-0.50, Bit Errors=319, BER=1.675420E-001, Frame Errors=111, FER=9.327731E-001
Progress=0.0, SNR=0.00, Bit Errors=329, BER=1.727941E-001, Frame Errors=111, FER=9.327731E-001
Progress=0.0, SNR=0.50, Bit Errors=298, BER=1.552083E-001, Frame Errors=111, FER=9.250000E-001
Progress=0.0, SNR=1.00, Bit Errors=265, BER=1.346545E-001, Frame Errors=111, FER=9.024390E-001
Progress=0.0, SNR=1.50, Bit Errors=243, BER=1.186523E-001, Frame Errors=111, FER=8.671875E-001
Progress=0.0, SNR=2.00, Bit Errors=214, BER=1.036822E-001, Frame Errors=111, FER=8.604651E-001
Progress=0.0, SNR=2.50, Bit Errors=196, BER=8.390411E-002, Frame Errors=111, FER=7.602740E-001
Progress=0.0, SNR=3.00, Bit Errors=176, BER=7.482993E-002, Frame Errors=111, FER=7.551020E-001
Progress=0.0, SNR=3.50, Bit Errors=182, BER=6.730769E-002, Frame Errors=111, FER=6.568047E-001
Progress=0.0, SNR=4.00, Bit Errors=162, BER=5.385638E-002, Frame Errors=111, FER=5.904255E-001
Progress=0.0, SNR=4.50, Bit Errors=150, BER=4.443128E-002, Frame Errors=111, FER=5.260664E-001
Progress=0.0, SNR=5.00, Bit Errors=147, BER=4.333726E-002, Frame Errors=111, FER=5.235849E-001
Progress=0.0, SNR=5.50, Bit Errors=143, BER=2.692018E-002, Frame Errors=111, FER=3.343373E-001
Progress=0.0, SNR=6.00, Bit Errors=138, BER=2.566964E-002, Frame Errors=111, FER=3.303571E-001
Progress=0.0, SNR=6.50, Bit Errors=128, BER=2.150538E-002, Frame Errors=111, FER=2.983871E-001
Progress=0.0, SNR=7.00, Bit Errors=123, BER=1.228035E-002, Frame Errors=111, FER=1.773163E-001
Progress=0.0, SNR=7.50, Bit Errors=117, BER=8.939487E-003, Frame Errors=111, FER=1.356968E-001
Progress=0.0, SNR=8.00, Bit Errors=115, BER=5.777733E-003, Frame Errors=111, FER=8.922830E-002
Progress=0.0, SNR=8.50, Bit Errors=404, BER=2.097350E-004, Frame Errors=201, FER=1.669574E-003
Progress=0.0, SNR=-1.00, Bit Errors=711, BER=1.735840E-001, Frame Errors=201, FER=7.851563E-001
Progress=0.0, SNR=-0.50, Bit Errors=705, BER=1.688218E-001, Frame Errors=201, FER=7.701149E-001
Progress=0.0, SNR=0.00, Bit Errors=658, BER=1.479317E-001, Frame Errors=201, FER=7.230216E-001
Progress=0.0, SNR=0.50, Bit Errors=593, BER=1.180334E-001, Frame Errors=201, FER=6.401274E-001
Progress=0.0, SNR=1.00, Bit Errors=569, BER=1.104425E-001, Frame Errors=201, FER=6.242236E-001
Progress=0.0, SNR=1.50, Bit Errors=544, BER=9.392265E-002, Frame Errors=201, FER=5.552486E-001
Progress=0.0, SNR=2.00, Bit Errors=539, BER=7.926471E-002, Frame Errors=201, FER=4.729412E-001
Progress=0.0, SNR=2.50, Bit Errors=507, BER=6.453666E-002, Frame Errors=201, FER=4.093686E-001
Progress=0.0, SNR=3.00, Bit Errors=499, BER=5.340325E-002, Frame Errors=201, FER=3.441781E-001
Progress=0.0, SNR=3.50, Bit Errors=487, BER=4.221567E-002, Frame Errors=201, FER=2.787795E-001
Progress=0.0, SNR=4.00, Bit Errors=466, BER=3.340023E-002, Frame Errors=201, FER=2.305046E-001
Progress=0.0, SNR=4.50, Bit Errors=462, BER=2.463737E-002, Frame Errors=201, FER=1.715017E-001
Progress=0.0, SNR=5.00, Bit Errors=432, BER=1.476217E-002, Frame Errors=201, FER=1.098961E-001
Progress=0.0, SNR=5.50, Bit Errors=439, BER=1.061412E-002, Frame Errors=201, FER=7.775629E-002
Progress=0.0, SNR=6.00, Bit Errors=431, BER=6.674306E-003, Frame Errors=201, FER=4.980178E-002
Progress=0.0, SNR=6.50, Bit Errors=421, BER=4.452200E-003, Frame Errors=201, FER=3.401015E-002
Progress=0.0, SNR=7.00, Bit Errors=419, BER=1.929808E-003, Frame Errors=201, FER=1.481209E-002
Progress=0.0, SNR=7.50, Bit Errors=416, BER=1.122625E-003, Frame Errors=201, FER=8.678756E-003
Progress=0.0, SNR=8.00, Bit Errors=410, BER=5.022146E-004, Frame Errors=201, FER=3.939323E-003
Progress=0.0, SNR=8.50, Bit Errors=406, BER=2.518460E-004, Frame Errors=201, FER=1.994918E-003
Progress=0.0, SNR=9.00, Bit Errors=406, BER=8.079795E-005, Frame Errors=201, FER=6.400153E-004
Progress=0.0, SNR=9.50, Bit Errors=406, BER=2.765095E-005, Frame Errors=201, FER=2.190282E-004
Progress=0.1, SNR=10.00, Bit Errors=402, BER=8.462394E-006, Frame Errors=201, FER=6.769915E-005
