Progress=0.0, SNR=0.00, Bit Errors=797, BER=1.551791E-001, Frame Errors=210, FER=6.542056E-001, addNum=326.37, mulNum=414.16, total_num=740.53, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=1.00, Bit Errors=721, BER=1.164406E-001, Frame Errors=210, FER=5.426357E-001, addNum=330.07, mulNum=419.19, total_num=749.26, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=2.00, Bit Errors=643, BER=7.625712E-002, Frame Errors=210, FER=3.984820E-001, addNum=329.52, mulNum=418.22, total_num=747.74, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=3.00, Bit Errors=589, BER=5.049726E-002, Frame Errors=210, FER=2.880658E-001, addNum=328.62, mulNum=417.48, total_num=746.10, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=4.00, Bit Errors=570, BER=3.133245E-002, Frame Errors=210, FER=1.846966E-001, addNum=319.25, mulNum=403.75, total_num=723.00, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=5.00, Bit Errors=502, BER=1.494759E-002, Frame Errors=210, FER=1.000476E-001, addNum=317.04, mulNum=400.81, total_num=717.85, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=6.00, Bit Errors=483, BER=6.541170E-003, Frame Errors=210, FER=4.550379E-002, addNum=308.56, mulNum=389.59, total_num=698.15, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=7.00, Bit Errors=463, BER=1.955633E-003, Frame Errors=210, FER=1.419207E-002, addNum=304.24, mulNum=384.25, total_num=688.49, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=0.00, Bit Errors=797, BER=1.551791E-001, Frame Errors=210, FER=6.542056E-001, addNum=326.37, mulNum=414.16, total_num=740.53, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=1.00, Bit Errors=721, BER=1.164406E-001, Frame Errors=210, FER=5.426357E-001, addNum=330.07, mulNum=419.19, total_num=749.26, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=2.00, Bit Errors=643, BER=7.625712E-002, Frame Errors=210, FER=3.984820E-001, addNum=329.52, mulNum=418.22, total_num=747.74, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=3.00, Bit Errors=589, BER=5.049726E-002, Frame Errors=210, FER=2.880658E-001, addNum=328.62, mulNum=417.48, total_num=746.10, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=4.00, Bit Errors=570, BER=3.133245E-002, Frame Errors=210, FER=1.846966E-001, addNum=319.25, mulNum=403.75, total_num=723.00, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=5.00, Bit Errors=502, BER=1.494759E-002, Frame Errors=210, FER=1.000476E-001, addNum=317.04, mulNum=400.81, total_num=717.85, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=6.00, Bit Errors=483, BER=6.541170E-003, Frame Errors=210, FER=4.550379E-002, addNum=308.56, mulNum=389.59, total_num=698.15, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=0.00, Bit Errors=797, BER=1.551791E-001, Frame Errors=210, FER=6.542056E-001, addNum=326.37, mulNum=414.16, total_num=740.53, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=1.00, Bit Errors=721, BER=1.164406E-001, Frame Errors=210, FER=5.426357E-001, addNum=330.07, mulNum=419.19, total_num=749.26, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=2.00, Bit Errors=643, BER=7.625712E-002, Frame Errors=210, FER=3.984820E-001, addNum=329.52, mulNum=418.22, total_num=747.74, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=3.00, Bit Errors=589, BER=5.049726E-002, Frame Errors=210, FER=2.880658E-001, addNum=328.62, mulNum=417.48, total_num=746.10, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=4.00, Bit Errors=570, BER=3.133245E-002, Frame Errors=210, FER=1.846966E-001, addNum=319.25, mulNum=403.75, total_num=723.00, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=5.00, Bit Errors=502, BER=1.494759E-002, Frame Errors=210, FER=1.000476E-001, addNum=317.04, mulNum=400.81, total_num=717.85, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=6.00, Bit Errors=483, BER=6.541170E-003, Frame Errors=210, FER=4.550379E-002, addNum=308.56, mulNum=389.59, total_num=698.15, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=7.00, Bit Errors=463, BER=1.955633E-003, Frame Errors=210, FER=1.419207E-002, addNum=304.24, mulNum=384.25, total_num=688.49, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=0.00, Bit Errors=797, BER=1.551791E-001, Frame Errors=210, FER=6.542056E-001, addNum=326.37, mulNum=414.16, total_num=740.53, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=1.00, Bit Errors=721, BER=1.164406E-001, Frame Errors=210, FER=5.426357E-001, addNum=330.07, mulNum=419.19, total_num=749.26, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=2.00, Bit Errors=643, BER=7.625712E-002, Frame Errors=210, FER=3.984820E-001, addNum=329.52, mulNum=418.22, total_num=747.74, Choice Errors= 0, CWR=0.000000E+000
Progress=0.0, SNR=3.00, Bit Errors=589, BER=5.049726E-002, Frame Errors=210, FER=2.880658E-001, addNum=328.62, mulNum=417.48, total_num=746.10, Choice Errors= 0, CWR=0.000000E+000
